H,albedo,rot_per,spec_B
9.17,0.238,2.4245372037447916,S
11.64,0.053,3.5610460826040513,X
10.3,0.047,2.1947771403597405,C
13.03,0.328,1.308603053404019,S
10.89,0.201,1.8390564556702138,X
9.67,0.057,2.4388627112865935,C
11.88,0.301,1.3109510108161002,S
12.03,0.169,2.5566845284287005,S
11.71,0.292,2.7745867249024543,S
11.86,0.201,3.856510295497887,S
9.57,0.219,2.268511112660294,S
10.64,0.036,1.9194048230637248,X
12.19,0.041,2.1205834850110112,C
9.67,0.0767,2.947644362746936,C
11.33,0.173,1.3952788791913548,S
11.66,0.127,3.0978374964911444,X
10.54,0.206,2.097035850080787,X
9.34,0.229,1.8091736254818425,S
12.19,0.384,1.3957098955295835,X
12.33,0.033,1.8172160175874539,X
11.76,0.241,1.3026409761226372,S
9.53,0.066,2.2577550770762516,X
11.6,0.237,4.589040804058207,S
10.12,0.031,3.0777729838902004,X
11.91,0.432,1.5364542311054492,A
11.1,0.031,2.418410658499636,C
10.78,0.057,3.1973252708377564,X
9.94,0.16,2.3767644911682972,S
11.61,0.155,1.8962245841342484,S
10.24,0.064,2.020845329997894,K
11.17,0.203,1.4850984301784713,S
12.01,0.356,2.2049722641270453,X
11.43,0.031,1.6251340805404246,C
11.36,0.106,2.7746490982067002,X
12.16,0.37,1.5665304114228238,S
9.97,0.24,2.5714665359821094,S
11.61,0.051,2.712712648316454,X
11.68,0.273,1.5022089857162466,S
9.97,0.042,3.011014897085148,C
10.2,0.218,1.99047370661909,X
11.54,0.037,2.758426408427277,X
9.61,0.046,3.519868911379654,X
11.28,0.048,2.3850863145057892,X
11.22,0.202,2.6668809240641393,X
11.49,0.249,3.165896900077314,S
10.94,0.162,1.8597451670191494,K
9.91,0.282,2.5793755667390315,S
10.9,0.636,3.039749158970765,X
10.73,0.215,2.4541037406329553,S
10.28,0.028,2.9215473753646144,C
10.2,0.0459,2.099721995974981,X
9.63,0.041,3.5186840771178223,C
10.6,0.031,2.151683130365841,C
12.93,0.252,1.4075664963954304,S
11.3,0.063,2.615642471777055,C
10.95,0.195,5.241747015059643,S
10.19,0.069,2.3561258599220753,L
